maintenance_id,equipment_id,maintenance_date,maintenance_type,description,cost,duration_hours,technician_id,parts_replaced,next_maintenance_due,maintenance_score,downtime_hours,created_at
21,CAT00006,2024-10-17,Preventive,Caterpillar Preventive maintenance,2029.65,6.4,TECH1271,"[""Suspension""]",2025-02-05,9,55.1,2025-08-28 16:57:14
22,CAT00006,2020-05-26,Preventive,Caterpillar Preventive maintenance,2273.71,4.97,TECH1147,"[""Dump Body"", ""Differential""]",2020-08-28,10,61.66,2025-08-28 16:57:14
23,CAT00006,2022-04-30,Preventive,Caterpillar Preventive maintenance,2665.25,13.83,TECH8462,"[""Suspension"", ""Brakes"", ""Dump Body""]",2022-10-02,8,35.53,2025-08-28 16:57:14
24,CAT00006,2016-09-13,Corrective,Caterpillar Corrective maintenance,1681.36,7.72,TECH5193,"[""Suspension"", ""Brakes""]",2017-07-17,8,55.65,2025-08-28 16:57:14
25,CAT00006,2023-02-17,Preventive,Caterpillar Preventive maintenance,3837.66,11.87,TECH1863,"[""Dump Body""]",2023-12-04,9,21.71,2025-08-28 16:57:14
26,CAT00007,2023-05-19,Preventive,Caterpillar Preventive maintenance,5685.92,3.38,TECH2813,"[""Sprocket"", ""Boom Cylinder"", ""Hydraulic Pump""]",2024-03-13,9,9.05,2025-08-28 16:57:14
27,CAT00007,2024-10-12,Preventive,Caterpillar Preventive maintenance,5571.96,2.79,TECH3742,"[""Hydraulic Pump"", ""Sprocket"", ""Track Assembly""]",2025-05-04,10,18.65,2025-08-28 16:57:14
28,CAT00007,2024-11-28,Preventive,Caterpillar Preventive maintenance,2305.46,9.84,TECH9125,"[""Hydraulic Pump"", ""Sprocket"", ""Boom Cylinder""]",2025-08-23,10,61.6,2025-08-28 16:57:14
29,CAT00007,2024-03-12,Preventive,Caterpillar Preventive maintenance,5857.91,15.2,TECH4107,"[""Sprocket"", ""Boom Cylinder""]",2025-02-16,9,60.27,2025-08-28 16:57:14
30,CAT00007,2025-07-25,Corrective,Caterpillar Corrective maintenance,5212.38,11.66,TECH5044,"[""Hydraulic Pump""]",2026-03-31,10,13.87,2025-08-28 16:57:14
31,CAT00008,2017-01-21,Preventive,Caterpillar Preventive maintenance,5459.05,6.3,TECH7770,"[""Compressor Pump"", ""Air Filter"", ""Pressure Switch""]",2017-05-09,10,54.68,2025-08-28 16:57:14
32,CAT00008,2020-02-27,Preventive,Caterpillar Preventive maintenance,3301.99,10.12,TECH2556,"[""Pressure Switch""]",2020-08-29,10,39.37,2025-08-28 16:57:14
33,CAT00009,2023-03-23,Preventive,Caterpillar Preventive maintenance,5280.61,3.01,TECH7532,"[""Scarifier""]",2024-01-30,10,13.74,2025-08-28 16:57:14
34,CAT00009,2021-04-14,Preventive,Caterpillar Preventive maintenance,3592.58,8.33,TECH7855,"[""Moldboard"", ""Circle""]",2022-01-23,9,33.45,2025-08-28 16:57:14
35,CAT00009,2022-10-16,Preventive,Caterpillar Preventive maintenance,2177.84,13.02,TECH2078,"[""Blade""]",2023-03-07,9,71.92,2025-08-28 16:57:14
36,CAT00009,2020-08-29,Corrective,Caterpillar Corrective maintenance,5166.65,15.15,TECH5204,"[""Circle"", ""Blade"", ""Moldboard""]",2021-08-07,8,17.59,2025-08-28 16:57:14
37,CAT00010,2023-01-05,Preventive,Caterpillar Preventive maintenance,1369.77,10.76,TECH7676,"[""Axle"", ""Transmission""]",2023-04-28,8,8.69,2025-08-28 16:57:14
38,CAT00011,2023-06-11,Corrective,Caterpillar Corrective maintenance,1229.55,3.14,TECH4846,"[""Sprocket"", ""Track Assembly""]",2024-02-13,8,22.62,2025-08-28 16:57:14
39,CAT00011,2023-05-06,Preventive,Caterpillar Preventive maintenance,4264.03,12.82,TECH9219,"[""Boom Cylinder""]",2024-01-30,9,17.58,2025-08-28 16:57:14
40,CAT00011,2025-02-24,Corrective,Caterpillar Corrective maintenance,2666.21,10.51,TECH6408,"[""Track Assembly""]",2025-08-10,9,58.01,2025-08-28 16:57:14
41,CAT00012,2022-08-08,Preventive,Caterpillar Preventive maintenance,4772.77,15.08,TECH2120,"[""Pallet Forks"", ""Grapple""]",2023-07-01,9,59.19,2025-08-28 16:57:14
42,CAT00012,2022-03-22,Preventive,Caterpillar Preventive maintenance,3679.28,10.96,TECH7267,"[""Pallet Forks"", ""Auger""]",2023-02-11,9,36.34,2025-08-28 16:57:14
43,CAT00013,2023-02-26,Corrective,Caterpillar Corrective maintenance,3462.24,6.4,TECH1949,"[""Moldboard"", ""Scarifier"", ""Blade""]",2023-06-09,10,27.0,2025-08-28 16:57:14
44,CAT00013,2024-12-06,Preventive,Caterpillar Preventive maintenance,3773.69,12.08,TECH2620,"[""Blade""]",2025-04-10,9,57.16,2025-08-28 16:57:14
45,CAT00013,2023-01-12,Corrective,Caterpillar Corrective maintenance,4302.1,4.82,TECH7300,"[""Moldboard""]",2023-10-05,8,21.51,2025-08-28 16:57:14
46,CAT00013,2021-09-19,Corrective,Caterpillar Corrective maintenance,4132.96,3.62,TECH9135,"[""Circle"", ""Blade""]",2022-06-28,9,53.49,2025-08-28 16:57:14
47,CAT00013,2022-11-29,Preventive,Caterpillar Preventive maintenance,1624.71,8.65,TECH7076,"[""Blade""]",2023-05-08,9,45.7,2025-08-28 16:57:14
48,CAT00014,2022-02-22,Corrective,Caterpillar Corrective maintenance,5329.19,11.89,TECH3221,"[""Radiator"", ""Ripper""]",2022-08-08,9,51.7,2025-08-28 16:57:14
49,CAT00014,2023-09-27,Preventive,Caterpillar Preventive maintenance,2224.62,3.95,TECH2939,"[""Ripper"", ""Final Drive""]",2024-01-25,10,59.05,2025-08-28 16:57:14
50,CAT00014,2024-04-11,Preventive,Caterpillar Preventive maintenance,4139.88,7.02,TECH5523,"[""Radiator"", ""Final Drive"", ""Ripper""]",2025-03-11,9,63.72,2025-08-28 16:57:14
51,CAT00014,2023-01-02,Corrective,Caterpillar Corrective maintenance,4736.98,12.13,TECH1244,"[""Ripper""]",2023-09-25,10,46.97,2025-08-28 16:57:14
52,CAT00015,2021-10-14,Preventive,Caterpillar Preventive maintenance,1439.6,5.58,TECH6073,"[""Snow Blower""]",2022-05-22,8,46.25,2025-08-28 16:57:14
53,CAT00015,2023-04-23,Preventive,Caterpillar Preventive maintenance,1741.46,11.36,TECH6646,"[""Snow Blower"", ""Grapple"", ""Pallet Forks""]",2023-12-24,9,49.92,2025-08-28 16:57:14
54,CAT00015,2025-07-15,Preventive,Caterpillar Preventive maintenance,3644.48,7.68,TECH3879,"[""Grapple"", ""Pallet Forks"", ""Auger""]",2025-12-01,9,44.81,2025-08-28 16:57:14
55,CAT00015,2023-06-26,Preventive,Caterpillar Preventive maintenance,5358.17,2.53,TECH4920,"[""Grapple"", ""Auger""]",2024-03-19,8,70.3,2025-08-28 16:57:14
56,CAT00016,2025-05-31,Emergency,Caterpillar Emergency maintenance,1230.77,15.44,TECH5365,"[""Suspension""]",2025-12-03,8,33.34,2025-08-28 16:57:14
57,CAT00016,2023-12-30,Corrective,Caterpillar Corrective maintenance,1743.93,5.71,TECH2313,"[""Suspension"", ""Differential""]",2024-08-26,8,31.21,2025-08-28 16:57:14
58,CAT00016,2018-12-22,Preventive,Caterpillar Preventive maintenance,3857.17,10.99,TECH3875,"[""Brakes"", ""Dump Body"", ""Suspension""]",2019-08-29,10,49.61,2025-08-28 16:57:14
59,CAT00016,2017-10-19,Corrective,Caterpillar Corrective maintenance,1677.08,4.91,TECH8303,"[""Suspension"", ""Brakes""]",2018-02-25,10,9.34,2025-08-28 16:57:14
60,CAT00016,2021-01-31,Preventive,Caterpillar Preventive maintenance,4871.54,15.57,TECH8636,"[""Brakes"", ""Suspension""]",2021-11-08,10,27.87,2025-08-28 16:57:14
61,CAT00017,2020-05-18,Preventive,Caterpillar Preventive maintenance,3736.16,15.15,TECH3381,"[""Lift Arms""]",2020-11-25,9,53.56,2025-08-28 16:57:14
62,CAT00017,2022-08-12,Corrective,Caterpillar Corrective maintenance,4375.24,6.06,TECH5169,"[""Bucket"", ""Transmission""]",2023-07-24,9,30.92,2025-08-28 16:57:14
63,CAT00017,2023-11-23,Emergency,Caterpillar Emergency maintenance,2808.81,9.96,TECH8012,"[""Bucket"", ""Lift Arms"", ""Axle""]",2024-05-11,9,19.11,2025-08-28 16:57:14
64,CAT00018,2022-09-06,Preventive,Caterpillar Preventive maintenance,3747.19,11.6,TECH8103,"[""Air Filter""]",2023-06-06,9,69.05,2025-08-28 16:57:14
65,CAT00018,2024-09-20,Preventive,Caterpillar Preventive maintenance,2443.03,6.99,TECH7925,"[""Air Filter"", ""Pressure Switch"", ""Tank""]",2024-12-29,9,10.63,2025-08-28 16:57:14
66,CAT00019,2019-04-11,Corrective,Caterpillar Corrective maintenance,5670.54,5.35,TECH4067,"[""Alternator"", ""Starter"", ""Fuel Injector""]",2019-10-05,8,17.6,2025-08-28 16:57:14
67,CAT00019,2016-06-30,Preventive,Caterpillar Preventive maintenance,3968.48,2.62,TECH5010,"[""Starter"", ""Alternator""]",2016-10-13,10,58.25,2025-08-28 16:57:14
68,CAT00020,2021-03-28,Corrective,Caterpillar Corrective maintenance,5516.48,15.15,TECH3147,"[""Boom Cylinder"", ""Sprocket""]",2022-01-09,8,15.53,2025-08-28 16:57:14
69,CAT00020,2025-01-18,Preventive,Caterpillar Preventive maintenance,5975.04,7.19,TECH7663,"[""Boom Cylinder"", ""Track Assembly""]",2025-05-30,8,33.36,2025-08-28 16:57:14
70,CAT00020,2024-09-22,Emergency,Caterpillar Emergency maintenance,4229.52,10.69,TECH5475,"[""Hydraulic Pump"", ""Track Assembly"", ""Boom Cylinder""]",2025-04-04,10,54.44,2025-08-28 16:57:14
71,CAT00020,2021-02-09,Corrective,Caterpillar Corrective maintenance,5820.55,11.59,TECH6720,"[""Track Assembly"", ""Hydraulic Pump""]",2021-08-19,8,18.33,2025-08-28 16:57:14
72,CAT00021,2024-10-26,Emergency,Caterpillar Emergency maintenance,1297.18,7.04,TECH3797,"[""Pallet Forks""]",2025-10-08,9,9.37,2025-08-28 16:57:14
73,CAT00021,2025-07-01,Preventive,Caterpillar Preventive maintenance,1912.01,6.65,TECH3754,"[""Pallet Forks"", ""Grapple""]",2026-03-13,9,12.36,2025-08-28 16:57:14
74,CAT00021,2023-01-07,Preventive,Caterpillar Preventive maintenance,5396.66,3.79,TECH7640,"[""Snow Blower"", ""Pallet Forks"", ""Auger""]",2023-09-23,9,60.06,2025-08-28 16:57:14
75,CAT00021,2024-07-07,Preventive,Caterpillar Preventive maintenance,2303.92,8.44,TECH5708,"[""Snow Blower"", ""Pallet Forks""]",2024-11-19,8,62.49,2025-08-28 16:57:14
76,CAT00022,2019-09-10,Preventive,Caterpillar Preventive maintenance,5097.67,5.28,TECH5668,"[""Transmission""]",2020-01-16,8,49.16,2025-08-28 16:57:14
77,CAT00023,2025-05-04,Corrective,Caterpillar Corrective maintenance,3982.87,9.01,TECH9105,"[""Air Filter""]",2025-09-18,8,70.05,2025-08-28 16:57:14
78,CAT00023,2022-09-30,Preventive,Caterpillar Preventive maintenance,1241.33,7.32,TECH7693,"[""Air Filter"", ""Pressure Switch"", ""Tank""]",2023-04-16,10,32.12,2025-08-28 16:57:14
79,CAT00023,2024-03-01,Emergency,Caterpillar Emergency maintenance,3987.63,7.85,TECH6629,"[""Tank"", ""Pressure Switch""]",2024-11-06,10,65.65,2025-08-28 16:57:14
80,CAT00023,2024-04-02,Preventive,Caterpillar Preventive maintenance,2587.9,13.3,TECH7186,"[""Air Filter"", ""Compressor Pump""]",2024-07-20,10,24.44,2025-08-28 16:57:14
81,CAT00023,2025-02-07,Preventive,Caterpillar Preventive maintenance,4790.76,15.67,TECH1172,"[""Tank""]",2025-09-28,8,13.05,2025-08-28 16:57:14
82,CAT00024,2018-03-25,Preventive,Caterpillar Preventive maintenance,1115.56,10.8,TECH1251,"[""Stabilizer"", ""PTO"", ""Backhoe Bucket""]",2019-01-19,9,37.33,2025-08-28 16:57:14
83,CAT00025,2023-05-15,Preventive,Caterpillar Preventive maintenance,5053.33,5.22,TECH2944,"[""PTO"", ""Backhoe Bucket"", ""Stabilizer""]",2024-05-05,10,53.8,2025-08-28 16:57:14
84,CAT00025,2024-09-25,Preventive,Caterpillar Preventive maintenance,4027.17,8.67,TECH5003,"[""Stabilizer""]",2025-05-18,8,27.76,2025-08-28 16:57:14
85,CAT00025,2021-11-30,Corrective,Caterpillar Corrective maintenance,5010.85,10.65,TECH4661,"[""Backhoe Bucket""]",2022-06-22,10,62.5,2025-08-28 16:57:14
86,CAT00025,2020-05-09,Preventive,Caterpillar Preventive maintenance,1440.24,6.14,TECH9041,"[""Loader Bucket""]",2021-03-23,8,24.42,2025-08-28 16:57:14
87,CAT00025,2019-01-26,Corrective,Caterpillar Corrective maintenance,5232.08,11.74,TECH2572,"[""Loader Bucket""]",2019-09-11,10,10.63,2025-08-28 16:57:14
88,CAT00026,2025-08-23,Corrective,Caterpillar Corrective maintenance,2748.08,12.87,TECH7736,"[""Vibratory System""]",2026-08-09,10,16.86,2025-08-28 16:57:14
89,CAT00026,2021-07-02,Preventive,Caterpillar Preventive maintenance,3185.99,2.4,TECH9298,"[""Engine""]",2022-01-23,9,66.61,2025-08-28 16:57:14
90,CAT00026,2018-04-03,Preventive,Caterpillar Preventive maintenance,3626.75,13.74,TECH6097,"[""Vibratory System"", ""Water System"", ""Engine""]",2018-11-08,10,71.18,2025-08-28 16:57:14
91,CAT00026,2024-10-12,Preventive,Caterpillar Preventive maintenance,2613.53,7.08,TECH8656,"[""Engine""]",2025-02-02,8,32.18,2025-08-28 16:57:14
92,CAT00026,2025-07-28,Corrective,Caterpillar Corrective maintenance,4827.46,9.29,TECH8259,"[""Vibratory System""]",2026-04-10,9,38.16,2025-08-28 16:57:14
93,CAT00027,2022-09-30,Preventive,Caterpillar Preventive maintenance,2945.8,8.16,TECH7894,"[""Tank"", ""Pressure Switch""]",2023-08-02,8,55.11,2025-08-28 16:57:14
94,CAT00027,2024-04-09,Preventive,Caterpillar Preventive maintenance,1076.75,5.44,TECH6275,"[""Pressure Switch"", ""Tank"", ""Air Filter""]",2025-04-07,9,51.17,2025-08-28 16:57:14
95,CAT00027,2024-06-19,Corrective,Caterpillar Corrective maintenance,1352.91,8.35,TECH8431,"[""Air Filter""]",2024-10-31,10,54.61,2025-08-28 16:57:14
96,CAT00028,2024-01-12,Preventive,Caterpillar Preventive maintenance,4235.09,12.1,TECH3863,"[""PTO""]",2024-08-12,8,46.01,2025-08-28 16:57:14
97,CAT00028,2024-12-04,Preventive,Caterpillar Preventive maintenance,4799.09,4.02,TECH4855,"[""Backhoe Bucket"", ""PTO"", ""Loader Bucket""]",2025-09-02,9,29.15,2025-08-28 16:57:14
98,CAT00028,2022-02-09,Preventive,Caterpillar Preventive maintenance,3462.9,14.34,TECH6301,"[""PTO""]",2022-08-20,9,31.72,2025-08-28 16:57:14
99,CAT00029,2024-12-20,Preventive,Caterpillar Preventive maintenance,1159.41,14.98,TECH9015,"[""Blade""]",2025-11-21,10,50.9,2025-08-28 16:57:14
100,CAT00029,2023-10-03,Corrective,Caterpillar Corrective maintenance,3175.23,11.03,TECH1346,"[""Blade""]",2024-08-10,9,71.28,2025-08-28 16:57:14
101,CAT00029,2024-08-15,Preventive,Caterpillar Preventive maintenance,3900.54,6.01,TECH9991,"[""Ripper"", ""Blade"", ""Final Drive""]",2025-07-08,8,17.52,2025-08-28 16:57:14
102,CAT00029,2024-06-16,Emergency,Caterpillar Emergency maintenance,4295.68,2.57,TECH2917,"[""Radiator"", ""Ripper""]",2025-01-17,8,44.98,2025-08-28 16:57:14
103,CAT00030,2022-10-10,Preventive,Caterpillar Preventive maintenance,1038.26,13.02,TECH4095,"[""Air Filter""]",2023-05-21,8,25.4,2025-08-28 16:57:14
104,CAT00031,2020-03-22,Preventive,Caterpillar Preventive maintenance,5600.25,6.58,TECH6222,"[""Blade"", ""Scarifier"", ""Moldboard""]",2021-01-03,8,49.06,2025-08-28 16:57:14
105,CAT00031,2019-09-14,Preventive,Caterpillar Preventive maintenance,4747.38,7.17,TECH3474,"[""Circle"", ""Scarifier"", ""Moldboard""]",2020-05-03,9,52.95,2025-08-28 16:57:14
106,CAT00031,2024-06-24,Preventive,Caterpillar Preventive maintenance,1511.53,7.4,TECH6012,"[""Circle"", ""Moldboard"", ""Blade""]",2025-04-18,10,37.35,2025-08-28 16:57:14
107,CAT00032,2024-01-20,Preventive,Caterpillar Preventive maintenance,890.15,7.75,TECH8114,"[""Stabilizer"", ""PTO""]",2024-12-11,10,53.84,2025-08-28 16:57:14
108,CAT00032,2023-05-24,Preventive,Caterpillar Preventive maintenance,2564.86,10.92,TECH3002,"[""Stabilizer""]",2023-11-10,10,14.29,2025-08-28 16:57:14
109,CAT00032,2021-06-13,Preventive,Caterpillar Preventive maintenance,3242.16,12.01,TECH1180,"[""Loader Bucket"", ""PTO""]",2021-12-19,8,61.06,2025-08-28 16:57:14
110,CAT00032,2021-06-03,Preventive,Caterpillar Preventive maintenance,4017.81,7.17,TECH4940,"[""Stabilizer"", ""Backhoe Bucket"", ""PTO""]",2022-04-26,9,46.16,2025-08-28 16:57:14
111,CAT00032,2022-06-09,Preventive,Caterpillar Preventive maintenance,4008.6,15.0,TECH6608,"[""Stabilizer"", ""Backhoe Bucket"", ""Loader Bucket""]",2023-02-16,9,34.04,2025-08-28 16:57:14
112,CAT00033,2021-10-15,Preventive,Caterpillar Preventive maintenance,3421.93,13.9,TECH6890,"[""Alternator"", ""Starter"", ""Fuel Injector""]",2022-02-19,8,61.82,2025-08-28 16:57:14
113,CAT00033,2024-02-11,Corrective,Caterpillar Corrective maintenance,4685.84,13.22,TECH4966,"[""Fuel Injector""]",2024-09-01,9,32.19,2025-08-28 16:57:14
114,CAT00033,2020-01-20,Emergency,Caterpillar Emergency maintenance,4438.61,11.15,TECH9832,"[""Starter"", ""Voltage Regulator"", ""Fuel Injector""]",2020-11-14,10,48.8,2025-08-28 16:57:14
115,CAT00034,2019-09-19,Emergency,Caterpillar Emergency maintenance,3897.77,5.26,TECH1437,"[""Pressure Switch"", ""Air Filter""]",2020-09-15,9,34.79,2025-08-28 16:57:14
116,CAT00034,2022-12-07,Preventive,Caterpillar Preventive maintenance,2204.2,8.63,TECH8802,"[""Air Filter""]",2023-11-22,9,69.63,2025-08-28 16:57:14
117,CAT00034,2023-06-02,Corrective,Caterpillar Corrective maintenance,5672.87,6.52,TECH6709,"[""Compressor Pump""]",2023-10-19,9,70.83,2025-08-28 16:57:14
118,CAT00034,2019-07-03,Preventive,Caterpillar Preventive maintenance,1534.05,7.42,TECH9250,"[""Compressor Pump"", ""Pressure Switch""]",2019-12-02,9,57.78,2025-08-28 16:57:14
119,CAT00035,2024-02-25,Preventive,Caterpillar Preventive maintenance,1762.27,7.05,TECH5761,"[""Air Filter"", ""Pressure Switch"", ""Tank""]",2024-05-27,9,44.44,2025-08-28 16:57:14
120,CAT00035,2018-06-29,Preventive,Caterpillar Preventive maintenance,2341.6,6.51,TECH2771,"[""Air Filter"", ""Compressor Pump""]",2019-01-09,10,14.35,2025-08-28 16:57:14
121,CAT00035,2022-02-24,Corrective,Caterpillar Corrective maintenance,4645.21,13.13,TECH9520,"[""Tank"", ""Air Filter""]",2022-09-29,9,24.93,2025-08-28 16:57:14
122,CAT00035,2024-02-12,Preventive,Caterpillar Preventive maintenance,4014.85,13.73,TECH1908,"[""Tank"", ""Pressure Switch"", ""Compressor Pump""]",2024-07-08,8,63.46,2025-08-28 16:57:14
123,CAT00036,2022-09-24,Preventive,Caterpillar Preventive maintenance,5793.84,12.57,TECH7013,"[""Track Assembly""]",2023-07-03,10,68.94,2025-08-28 16:57:14
124,CAT00036,2023-06-12,Preventive,Caterpillar Preventive maintenance,957.48,8.46,TECH5483,"[""Sprocket"", ""Boom Cylinder""]",2024-03-07,9,46.78,2025-08-28 16:57:14
125,CAT00037,2019-12-08,Preventive,Caterpillar Preventive maintenance,3848.19,3.5,TECH8265,"[""Drum"", ""Water System""]",2020-11-05,10,47.54,2025-08-28 16:57:14
126,CAT00038,2022-08-24,Preventive,Caterpillar Preventive maintenance,1170.98,14.27,TECH2953,"[""Final Drive""]",2023-05-28,8,36.42,2025-08-28 16:57:14
127,CAT00038,2020-10-21,Preventive,Caterpillar Preventive maintenance,2033.25,7.4,TECH8139,"[""Blade"", ""Ripper"", ""Radiator""]",2021-01-26,8,57.71,2025-08-28 16:57:14
128,CAT00038,2019-01-13,Preventive,Caterpillar Preventive maintenance,907.54,3.2,TECH8398,"[""Blade"", ""Final Drive""]",2019-10-25,9,56.05,2025-08-28 16:57:14
129,CAT00038,2020-05-19,Corrective,Caterpillar Corrective maintenance,5586.64,8.45,TECH7145,"[""Blade"", ""Radiator"", ""Final Drive""]",2021-03-06,10,32.6,2025-08-28 16:57:14
130,CAT00039,2024-03-13,Preventive,Caterpillar Preventive maintenance,3728.09,9.94,TECH3082,"[""Ripper"", ""Radiator"", ""Final Drive""]",2024-08-19,8,8.71,2025-08-28 16:57:14
131,CAT00039,2024-12-04,Preventive,Caterpillar Preventive maintenance,1268.22,5.15,TECH8599,"[""Final Drive""]",2025-11-22,10,18.04,2025-08-28 16:57:14
132,CAT00039,2024-03-26,Preventive,Caterpillar Preventive maintenance,2568.02,11.46,TECH3174,"[""Final Drive""]",2024-09-19,10,65.85,2025-08-28 16:57:14
133,CAT00039,2024-12-23,Corrective,Caterpillar Corrective maintenance,4566.52,15.83,TECH7376,"[""Ripper"", ""Radiator"", ""Blade""]",2025-06-22,10,9.65,2025-08-28 16:57:14
134,CAT00039,2024-01-05,Corrective,Caterpillar Corrective maintenance,5491.11,13.63,TECH7085,"[""Final Drive"", ""Radiator"", ""Ripper""]",2024-06-21,10,21.45,2025-08-28 16:57:14
135,CAT00040,2023-03-04,Preventive,Caterpillar Preventive maintenance,1091.11,5.37,TECH7301,"[""Blade"", ""Ripper""]",2024-03-01,8,56.56,2025-08-28 16:57:14
136,CAT00040,2022-10-14,Preventive,Caterpillar Preventive maintenance,5113.59,15.09,TECH6441,"[""Final Drive"", ""Blade"", ""Ripper""]",2023-03-18,9,15.82,2025-08-28 16:57:14
137,CAT00040,2023-01-10,Preventive,Caterpillar Preventive maintenance,3738.35,4.12,TECH4334,"[""Ripper"", ""Radiator"", ""Blade""]",2023-10-21,9,54.67,2025-08-28 16:57:14
138,CAT00040,2023-12-21,Preventive,Caterpillar Preventive maintenance,5981.61,9.27,TECH9753,"[""Final Drive"", ""Blade"", ""Radiator""]",2024-11-02,8,47.37,2025-08-28 16:57:14
139,CAT00040,2021-06-13,Corrective,Caterpillar Corrective maintenance,5697.43,10.3,TECH1570,"[""Final Drive"", ""Ripper""]",2022-02-25,8,8.41,2025-08-28 16:57:14
140,CAT00041,2024-06-25,Preventive,Caterpillar Preventive maintenance,4062.94,12.44,TECH3109,"[""Drum"", ""Vibratory System"", ""Engine""]",2025-04-17,9,66.27,2025-08-28 16:57:14
141,CAT00042,2021-11-17,Preventive,Caterpillar Preventive maintenance,4474.54,12.27,TECH8823,"[""Air Filter"", ""Compressor Pump"", ""Pressure Switch""]",2022-05-29,8,12.3,2025-08-28 16:57:14
142,CAT00042,2018-12-12,Emergency,Caterpillar Emergency maintenance,2504.17,15.5,TECH8655,"[""Pressure Switch"", ""Air Filter"", ""Tank""]",2019-04-30,8,28.45,2025-08-28 16:57:14
143,CAT00042,2017-10-02,Preventive,Caterpillar Preventive maintenance,4852.14,9.02,TECH2334,"[""Air Filter"", ""Compressor Pump"", ""Tank""]",2018-03-15,10,57.03,2025-08-28 16:57:14
144,CAT00042,2024-07-14,Preventive,Caterpillar Preventive maintenance,4105.98,2.78,TECH5306,"[""Pressure Switch""]",2024-11-28,8,45.38,2025-08-28 16:57:14
